layer_name,layer_type,indice_key,spatial_shape_zyx,feature_shape_nc,feature_channels,total_cells,active_voxels,sparsity,active_ratio_vs_prev,active_ratio_vs_input
input_voxelized,InputSparseTensor,,41x1600x1408,15000x4,4,92364800,15000,0.0001623995288248337,1.0,1.0
conv_input.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv1.0.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv2.0.0,SparseConv3d,spconv2,21x800x704,27448x32,32,11827200,27448,0.0023207521645021646,1.8298666666666668,1.8298666666666668
conv2.1.0,SubMConv3d,subm2,21x800x704,27448x32,32,11827200,27448,0.0023207521645021646,1.0,1.8298666666666668
conv2.2.0,SubMConv3d,subm2,21x800x704,27448x32,32,11827200,27448,0.0023207521645021646,1.0,1.8298666666666668
conv3.0.0,SparseConv3d,spconv3,11x400x352,17544x64,64,1548800,17544,0.011327479338842976,0.6391722529874672,1.1696
conv3.1.0,SubMConv3d,subm3,11x400x352,17544x64,64,1548800,17544,0.011327479338842976,1.0,1.1696
conv3.2.0,SubMConv3d,subm3,11x400x352,17544x64,64,1548800,17544,0.011327479338842976,1.0,1.1696
conv4.0.0,SparseConv3d,spconv4,5x200x176,7677x64,64,176000,7677,0.04361931818181818,0.4375854993160055,0.5118
conv4.1.0,SubMConv3d,subm4,5x200x176,7677x64,64,176000,7677,0.04361931818181818,1.0,0.5118
conv4.2.0,SubMConv3d,subm4,5x200x176,7677x64,64,176000,7677,0.04361931818181818,1.0,0.5118
conv_out.0,SparseConv3d,spconv_down2,2x200x176,5472x128,128,70400,5472,0.07772727272727273,0.712778429073857,0.3648
