layer_id,module_name,conv_type,kernel,stride,cin,cout,has_bn,has_relu,has_residual,activation_key
0,conv_input.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",4,16,True,True,False,l00_conv_input
1,conv1.0.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",16,16,True,True,False,l01_conv1
2,conv2.0.0,SparseConv3d,"(3, 3, 3)","(2, 2, 2)",16,32,True,True,False,l02_conv2_0
3,conv2.1.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",32,32,True,True,False,l03_conv2_1
4,conv2.2.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",32,32,True,True,False,l04_conv2_2
5,conv3.0.0,SparseConv3d,"(3, 3, 3)","(2, 2, 2)",32,64,True,True,False,l05_conv3_0
6,conv3.1.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,l06_conv3_1
7,conv3.2.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,l07_conv3_2
8,conv4.0.0,SparseConv3d,"(3, 3, 3)","(2, 2, 2)",64,64,True,True,False,l08_conv4_0
9,conv4.1.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,l09_conv4_1
10,conv4.2.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,l10_conv4_2
11,conv_out.0,SparseConv3d,"(3, 1, 1)","(2, 1, 1)",64,128,True,True,False,l11_conv_out
