layer_id,module_name,conv_type,kernel,stride,cin,cout,has_bn,has_relu,has_residual,rtl_match
0,conv_input.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",4,16,True,True,False,True
1,conv1.0.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",16,16,True,True,False,True
2,conv2.0.0,SparseConv3d,"(3, 3, 3)","(2, 2, 2)",16,32,True,True,False,True
3,conv2.1.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",32,32,True,True,False,True
4,conv2.2.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",32,32,True,True,False,True
5,conv3.0.0,SparseConv3d,"(3, 3, 3)","(2, 2, 2)",32,64,True,True,False,True
6,conv3.1.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,True
7,conv3.2.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,True
8,conv4.0.0,SparseConv3d,"(3, 3, 3)","(2, 2, 2)",64,64,True,True,False,True
9,conv4.1.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,True
10,conv4.2.0,SubMConv3d,"(3, 3, 3)","(1, 1, 1)",64,64,True,True,False,True
11,conv_out.0,SparseConv3d,"(3, 1, 1)","(2, 1, 1)",64,128,True,True,False,True
